institution,ukprn,region,uoa_id,uoa_name,case_id,case_title,panel,gpa_score,binary_impact_label,region_code,Flesch Reading Ease,Dale-Chall Readability Score,SMOG Index,Automated Readability Index,Sentiment (mean),Sentiment (10th),Sentiment (50th),Sentiment (75th),Sentiment (90th),Number of organizations mentioned,Number of named individuals,Number of countries or regions mentioned,Any monetary values mentioned (list them with currency),Total monetary value,Word count,Paragraph count
University of Bath,10007850,South West,16,"Architecture, Built Environment and Planning",43239,"
    Clever Roofs: Innovative Methods to Cover Large Open Spaces
    ",C,3.9,High,1.0,24.044310327804112,12.881338614308284,17.670442763823427,20.561669198739587,0.3455,0.0,0.2846,0.6506,0.8376,41,28,17,[],,1481,7
University of Bath,10007850,South West,16,"Architecture, Built Environment and Planning",43240,"
    Prolonging the Life of our Concrete Infrastructure
    ",C,3.9,High,1.0,31.849260381593723,12.59726311759571,16.735426496423372,18.50487399663991,0.3225,0.0,0.3145,0.6369,0.8041,28,13,9,"['several £millions', '$240M', 'millions', 'hundreds of £thousands', '160,000', 'between £100,000 and £600,000', '200,000', '£5 million', '10,000-£50,000', 'several £million']",£5.47 million,1461,2
University of Aberdeen,10007783,Scotland,16,"Architecture, Built Environment and Planning",43339,"
    Index construction and property market transparency
    ",C,3.4,High,10.0,16.53401152349599,13.155929991020653,19.3646837828281,20.49622268781802,0.1191,0.0,0.0,0.3555,0.4509,20,1,4,[],,771,2
University of Aberdeen,10007783,Scotland,16,"Architecture, Built Environment and Planning",43341,"
    Smarter Travel: influencing behaviour for a sustainable future
    ",C,3.4,High,10.0,16.73435540069687,13.477795095148755,18.988857725827692,21.40476597107328,0.3288,0.0,0.4588,0.5712,0.7244,29,9,12,"['£560 million', '600']",£560.0 million,1371,9
University of Bolton,10006841,North West,16,"Architecture, Built Environment and Planning",43525,"
    Improving Standards and Practice in the Built Environment and Related
        Industries
    ",C,0.3,Low,6.0,18.41917494569671,12.61575505109853,17.979576790631704,19.624315422141507,0.2933,-0.1206,0.35,0.5772,0.762,16,5,1,"['9,000', '8,000.00', '50']",£0.02 million,851,4
Edinburgh Napier University,10007772,Scotland,16,"Architecture, Built Environment and Planning",43938,"
    Development of acoustic Robust Details enhancing building performance and
      wellbeing of occupants
    ",C,2.6,Low,10.0,30.724481916441505,13.355889233007689,16.52667757954773,17.373598004572848,0.3576,-0.0924,0.4401,0.6369,0.6486,15,2,11,"['over £3 million', '£14 million']",£17.0 million,849,2
Edinburgh Napier University,10007772,Scotland,16,"Architecture, Built Environment and Planning",43940,"
    Promoting Sustainable Community Development
    ",C,2.6,Low,10.0,13.043363701067648,13.475607492289443,19.44796746070327,23.55114386792453,0.2988,-0.4577,0.3793,0.6597,0.8116,22,6,12,[],,848,2
Glasgow Caledonian University,10007762,Scotland,16,"Architecture, Built Environment and Planning",44625,"
    Driving Sustainable Waste Management Practices in Scotland
    ",C,2.9,Low,10.0,27.169469026548683,12.854439648633333,17.001256894173007,18.371297995390698,0.0847,-0.4366,0.0,0.4588,0.6876,12,0,6,"['64', '1.2bn', '250k', '65', 'over £250']",£0.0 million,793,8
Glasgow Caledonian University,10007762,Scotland,16,"Architecture, Built Environment and Planning",44626,"
Reducing construction accidents: saving lives.
",C,2.9,Low,10.0,32.38306698002353,13.479426909518216,16.44412856458354,17.192532239155916,0.0796,-0.5095,0.0,0.3426,0.5235,29,5,7,"['700,000', '1bn', '1bn']",£0.7 million,853,2
Glasgow Caledonian University,10007762,Scotland,16,"Architecture, Built Environment and Planning",44627,"
    Setting the agenda for traditional building refurbishment
    ",C,2.9,Low,10.0,19.116905944319058,12.835958299473289,18.315409229039158,21.063359491778776,0.1683,0.0,0.0,0.4404,0.6927,13,8,6,['1.5'],£0.0 million,892,9
University of Central Lancashire,10007141,North West,17,"Geography, Environmental Studies and Archaeology",2789,"
    Bones without barriers: engaging with ancient human remains
    ",C,1.8,Low,6.0,31.753057190916763,11.803562517521726,15.555744446314616,14.78699747687132,0.2075,-0.2546,0.2023,0.5181,0.6614,21,5,7,[],,870,2
University of Central Lancashire,10007141,North West,17,"Geography, Environmental Studies and Archaeology",2790,"
    Earthworm Applications: Harnessing ecosystem services
    ",C,1.8,Low,6.0,28.328445907355672,12.21835157663751,16.32212239822248,17.125381609402716,0.1578,-0.0103,0.0,0.3664,0.5898,21,4,9,"['24,000', '20,000', '3,500']",£0.05 million,853,2
Cardiff University,10007814,Wales,17,"Geography, Environmental Studies and Archaeology",3404,"
    Evidence based management strategies for Heritage iron
    ",C,3.3,High,9.0,17.229024829671374,13.255714280685043,18.44314601497714,19.135876890695613,0.2948,-0.0232,0.1406,0.7605,0.8468,14,4,3,"['over £4', '9', '367,000']",£0.37 million,1127,8
Cardiff University,10007814,Wales,17,"Geography, Environmental Studies and Archaeology",3405,"
Changing people's perceptions of the human:animal relationship
",C,3.3,High,9.0,23.538076463560373,13.1670839307049,16.794655666223992,17.270283732285343,0.2464,-0.2255,0.0258,0.6597,0.7668,20,11,4,[],,1244,2
University of Oxford,10007774,South East,17,"Geography, Environmental Studies and Archaeology",3687,"
    Inspiring and Educating Communities through Archaeological Fieldwork in
      South Oxfordshire
    ",C,3.4,High,2.0,35.896647555240605,11.723687279091243,15.200602324569754,16.417470769626114,0.1605,0.0,0.0,0.2732,0.7184,21,9,8,[],,1086,2
University of Oxford,10007774,South East,17,"Geography, Environmental Studies and Archaeology",3687,"
    Inspiring and Educating Communities through Archaeological Fieldwork in
      South Oxfordshire
    ",C,3.167,High,2.0,35.896647555240605,11.723687279091243,15.200602324569754,16.417470769626114,0.1605,0.0,0.0,0.2732,0.7184,21,9,8,[],,1086,2
University of Oxford,10007774,South East,17,"Geography, Environmental Studies and Archaeology",3688,"
    `Greening' the conservation of ruined heritage sites using soft capping
      and ivy.
    ",C,3.4,High,2.0,32.22744532130781,12.44137493638267,15.719379583869454,17.223250843644543,0.1639,-0.3234,0.0,0.4404,0.7133,12,8,9,"['50,000']",£0.05 million,889,2
University of Oxford,10007774,South East,17,"Geography, Environmental Studies and Archaeology",3688,"
    `Greening' the conservation of ruined heritage sites using soft capping
      and ivy.
    ",C,3.167,High,2.0,32.22744532130781,12.44137493638267,15.719379583869454,17.223250843644543,0.1639,-0.3234,0.0,0.4404,0.7133,12,8,9,"['50,000']",£0.05 million,889,2
University of Oxford,10007774,South East,17,"Geography, Environmental Studies and Archaeology",3689,"
    Enabling Climate Adaptation in the UK and Internationally
    ",C,3.4,High,2.0,20.24558658351711,13.102735887541344,17.867819319788268,19.179151736493942,0.2842,0.0,0.2732,0.5267,0.7281,18,2,12,[],,907,2
University of Oxford,10007774,South East,17,"Geography, Environmental Studies and Archaeology",3689,"
    Enabling Climate Adaptation in the UK and Internationally
    ",C,3.167,High,2.0,20.24558658351711,13.102735887541344,17.867819319788268,19.179151736493942,0.2842,0.0,0.2732,0.5267,0.7281,18,2,12,[],,907,2
University of Liverpool,10006842,North West,17,"Geography, Environmental Studies and Archaeology",4437,"
Castell Henllys and the Pembrokeshire Coast National Park
",C,2.6,Low,6.0,30.436050851221324,12.036025826794967,16.623762744952167,17.473648449039885,0.2388,0.0,0.1777,0.4555,0.6908,27,3,10,[],,1354,2
University of Liverpool,10006842,North West,17,"Geography, Environmental Studies and Archaeology",4437,"
Castell Henllys and the Pembrokeshire Coast National Park
",C,3.1,High,6.0,30.436050851221324,12.036025826794967,16.623762744952167,17.473648449039885,0.2388,0.0,0.1777,0.4555,0.6908,27,3,10,[],,1354,2
University of Liverpool,10006842,North West,17,"Geography, Environmental Studies and Archaeology",4438,"
    Illuminating the Land of Light
    ",C,2.6,Low,6.0,25.00039988492523,12.490445249968035,17.89609958753239,20.16375103522966,0.2778,0.0,0.2732,0.5563,0.6965,24,8,11,"['175,000', 'up to €250,000']",£0.42 million,1427,2
University of Liverpool,10006842,North West,17,"Geography, Environmental Studies and Archaeology",4438,"
    Illuminating the Land of Light
    ",C,3.1,High,6.0,25.00039988492523,12.490445249968035,17.89609958753239,20.16375103522966,0.2778,0.0,0.2732,0.5563,0.6965,24,8,11,"['175,000', 'up to €250,000']",£0.42 million,1427,2
University of Liverpool,10006842,North West,17,"Geography, Environmental Studies and Archaeology",4439,"
    Stepping stones to the Neolithic. Islands, maritime connectivity and the
      `western seaways' of Britain, 5000-3500 BC
    ",C,2.6,Low,6.0,33.058028935682586,12.193410041541327,15.870392833810978,15.61853443243782,0.1509,0.0,0.0,0.3069,0.5859,23,11,7,[],,1801,5
University of Liverpool,10006842,North West,17,"Geography, Environmental Studies and Archaeology",4439,"
    Stepping stones to the Neolithic. Islands, maritime connectivity and the
      `western seaways' of Britain, 5000-3500 BC
    ",C,3.1,High,6.0,33.058028935682586,12.193410041541327,15.870392833810978,15.61853443243782,0.1509,0.0,0.0,0.3069,0.5859,23,11,7,[],,1801,5
University of Oxford,10007774,South East,17,"Geography, Environmental Studies and Archaeology",4564,"
    Enriching and educating visitor experience at Aphrodisias in SW Turkey:
      The stone-for-stone reconstruction of the Sebasteion and the contextual
      display of its reliefs.
    ",C,3.4,High,2.0,37.46610673022664,11.86016845466156,15.222703865037271,15.866808296296298,0.3855,0.0,0.3818,0.6901,0.7964,16,10,11,[],,1250,2
University of Oxford,10007774,South East,17,"Geography, Environmental Studies and Archaeology",4564,"
    Enriching and educating visitor experience at Aphrodisias in SW Turkey:
      The stone-for-stone reconstruction of the Sebasteion and the contextual
      display of its reliefs.
    ",C,3.167,High,2.0,37.46610673022664,11.86016845466156,15.222703865037271,15.866808296296298,0.3855,0.0,0.3818,0.6901,0.7964,16,10,11,[],,1250,2
University of Oxford,10007774,South East,17,"Geography, Environmental Studies and Archaeology",4565,"
    Bringing the Iron Age and Romans to life in southern Britain: Danebury
        hillfort and Brading villa
    ",C,3.4,High,2.0,32.73791296955528,11.76856630891026,16.721375336144398,17.10110645591316,0.3389,0.0,0.3612,0.6308,0.8406,44,11,12,"['43,500', '2,000', '1,000']",£0.05 million,1602,2
University of Oxford,10007774,South East,17,"Geography, Environmental Studies and Archaeology",4565,"
    Bringing the Iron Age and Romans to life in southern Britain: Danebury
        hillfort and Brading villa
    ",C,3.167,High,2.0,32.73791296955528,11.76856630891026,16.721375336144398,17.10110645591316,0.3389,0.0,0.3612,0.6308,0.8406,44,11,12,"['43,500', '2,000', '1,000']",£0.05 million,1602,2
University of Oxford,10007774,South East,17,"Geography, Environmental Studies and Archaeology",4574,"
    Engaging communities in flood risk science and management
    ",C,3.4,High,2.0,30.709788461538466,12.446407820512821,17.325015865135295,19.567279236276853,0.2622,-0.2541,0.2023,0.6247,0.8389,25,6,5,"['700,000', '800,000']",£1.5 million,1257,2
University of Oxford,10007774,South East,17,"Geography, Environmental Studies and Archaeology",4574,"
    Engaging communities in flood risk science and management
    ",C,3.167,High,2.0,30.709788461538466,12.446407820512821,17.325015865135295,19.567279236276853,0.2622,-0.2541,0.2023,0.6247,0.8389,25,6,5,"['700,000', '800,000']",£1.5 million,1257,2
Middlesex University,10004351,London,17,"Geography, Environmental Studies and Archaeology",4851,"
    Flood Damage Appraisal Research
    ",C,3.4,High,0.0,35.22810559006214,12.656440372670808,14.728154271793024,15.668502280417833,0.0786,-0.2732,0.0,0.2378,0.4928,23,11,11,"['over £3bn', '£10-£12 billions', '200']",£0.0 million,971,4
Swansea University,10007855,Wales,17,"Geography, Environmental Studies and Archaeology",5838,"
    Using land-surface satellite data to improve weather forecasts and
      climate predictions
    ",C,3.5,High,9.0,21.86970839035692,12.62003526536628,17.264481140952654,18.99751104256817,0.3383,0.0,0.4289,0.5614,0.7021,28,2,9,['more than £300'],£0.0 million,1363,2
University of Leeds,10007795,Yorkshire And Humberside,17,"Geography, Environmental Studies and Archaeology",6352,"
    Case 5 - Creating sustainable uplands through stakeholder-academic
      co-learning
      and policy influence
    ",C,3.066,High,,22.350326301911707,13.03080674577016,17.48739557960204,18.85870766801193,0.2699,0.0,0.2023,0.5106,0.807,32,4,4,['30'],£0.0 million,1112,2
University of Leeds,10007795,Yorkshire And Humberside,17,"Geography, Environmental Studies and Archaeology",6353,"
    Case 6 - Improving national surface water quality using an urban
      non-point pollution model and supporting database.
    ",C,3.066,High,,17.197911646586363,14.33057389558233,18.140434051309363,19.639069634703198,0.1207,-0.1012,0.0,0.3917,0.5844,38,4,9,['£4 million'],£4.0 million,1168,2
University of Leeds,10007795,Yorkshire And Humberside,17,"Geography, Environmental Studies and Archaeology",6354,"
    Case 3 - Retail network research influences location decision-making and
      improves effectiveness for major global retailers and public service
      organizations.
    ",C,3.066,High,,22.09307197720517,13.119116888007929,17.72178452855745,18.256863277393883,0.1585,0.0,0.0,0.3547,0.6766,28,7,20,['150M.'],£0.0 million,1013,2
University of Leeds,10007795,Yorkshire And Humberside,17,"Geography, Environmental Studies and Archaeology",6355,"
    Case 4 &#8212; Influencing international climate mitigation strategies by
      understanding the role of tropical forests.
    ",C,3.066,High,,19.084026369168384,13.410070385395537,18.64771016261799,21.10718052738337,0.191,0.0,0.0,0.4396,0.6509,25,4,15,"['$500K', '73,342']",£0.07 million,986,2
University of Leeds,10007795,Yorkshire And Humberside,17,"Geography, Environmental Studies and Archaeology",6356,"
    Case 1 - Peatland catchment research on water colour yields economic
      benefits for the water industry.
    ",C,3.066,High,,24.2471841200163,13.002001706113953,17.811261544935366,20.358788070778836,0.3715,-0.2522,0.4215,0.7169,0.9158,15,6,5,['tens of millions of pounds'],,1163,2
Anglia Ruskin University,10000291,East,17,"Geography, Environmental Studies and Archaeology",7719,"
    Resources &amp; environmental loading: assessing risks and
        opportunities for the finance sector
    ",C,2.833,Low,3.0,27.928039070290737,12.731843025901966,17.372313746828272,17.951671107727442,0.2397,0.0,0.2023,0.4629,0.7442,43,8,14,"['£2.9 billion', '£2.9 billion', '£200 million']",£6000.0 million,1065,2
Anglia Ruskin University,10000291,East,17,"Geography, Environmental Studies and Archaeology",7721,"
    The use of citizen science in recording wildlife: ladybirds and
        invasive alien species
    ",C,2.833,Low,3.0,40.19806267556183,12.912656417458946,14.237784482759423,13.574447115384615,0.1,0.0,0.0,0.0258,0.5563,34,10,7,"['£1.7 billion', 'at least £3 billion']",£4700.0 million,1170,9
University of Leeds,10007795,Yorkshire And Humberside,17,"Geography, Environmental Studies and Archaeology",8317,"
    Case 2 - Research on methods of estimating immigration to local
      authorities in England helped National Statistics improve their
      immigration and population statistics
    ",C,3.066,High,,28.62230603820268,12.647357004775328,17.122413403193683,16.742458268800554,0.2378,0.0,0.0,0.4939,0.7451,28,8,7,"['£89 billion', '£100 billion', '£1.9 billion', '145']",£190900.0 million,1341,2
Middlesex University,10004351,London,17,"Geography, Environmental Studies and Archaeology",8325,"
    Changing perspectives and policies in urban drainage practice
    ",C,3.4,High,0.0,20.80157544889505,13.937482044198894,17.76365745401958,18.714182268722467,0.2369,0.0,0.0,0.506,0.7697,19,4,8,"['£3.2 billion', '2.2', '7500', '7000', '6800', '928,266', '£2.7 million']",£3203.65 million,908,2
Oxford Brookes University,10004930,South East,17,"Geography, Environmental Studies and Archaeology",11660,"
    WildKnowledge&#174; enabled citizen science
    ",C,2.2,Low,2.0,18.42334110334113,13.3916030648364,18.694884301123118,21.385710868079286,0.347,-0.1214,0.3182,0.7629,0.9217,23,4,6,"['100,000', '350,000', '144,220', '47,593']",£0.64 million,1064,2
Oxford Brookes University,10004930,South East,17,"Geography, Environmental Studies and Archaeology",11662,"
    Pearling: Testimony to an Island Economy
    ",C,2.2,Low,2.0,30.377866897272384,13.386969412315787,17.228024813938504,17.15347500983865,0.2253,0.0,0.0386,0.4538,0.6999,22,5,10,"['170k', '2k', '5.3k', '10.5k', '50k', '48k', '55k']",£0.0 million,847,3
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11838,"
    The management of landslides and rockfalls
    ",C,3.1329999999999996,High,8.0,24.799166191562165,13.13005425965141,17.833180683606166,20.20934987411679,0.0594,-0.3266,0.0,0.0771,0.6388,34,6,21,['£26 million'],£26.0 million,1759,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11838,"
    The management of landslides and rockfalls
    ",C,3.315,High,8.0,24.799166191562165,13.13005425965141,17.833180683606166,20.20934987411679,0.0594,-0.3266,0.0,0.0771,0.6388,34,6,21,['£26 million'],£26.0 million,1759,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11839,"
    Sea-level change and coastal planning
    ",C,3.1329999999999996,High,8.0,26.34038953938679,12.778956446003615,17.245922535919274,19.82207583196945,0.0515,-0.3931,0.0,0.2023,0.4694,29,7,12,[],,1404,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11839,"
    Sea-level change and coastal planning
    ",C,3.315,High,8.0,26.34038953938679,12.778956446003615,17.245922535919274,19.82207583196945,0.0515,-0.3931,0.0,0.2023,0.4694,29,7,12,[],,1404,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11840,"
    River flooding and diffuse pollution
    ",C,3.1329999999999996,High,8.0,32.07439401448033,12.704074022457787,16.72060747605644,18.98567838710067,0.1891,-0.4693,0.064,0.4767,0.7881,29,3,5,"['2', '5 year £3']",£0.0 million,1561,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11840,"
    River flooding and diffuse pollution
    ",C,3.315,High,8.0,32.07439401448033,12.704074022457787,16.72060747605644,18.98567838710067,0.1891,-0.4693,0.064,0.4767,0.7881,29,3,5,"['2', '5 year £3']",£0.0 million,1561,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11841,"
    Remote-sensing tools for rapid and cost-effective forest management
    ",C,3.1329999999999996,High,8.0,28.03317438382868,12.788408761248633,17.251386760058843,17.519643782210473,0.1098,-0.2568,0.0,0.3766,0.5733,32,4,16,"['250', '20', 'one per cent', '$250 million']",£250.0 million,1387,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11841,"
    Remote-sensing tools for rapid and cost-effective forest management
    ",C,3.315,High,8.0,28.03317438382868,12.788408761248633,17.251386760058843,17.519643782210473,0.1098,-0.2568,0.0,0.3766,0.5733,32,4,16,"['250', '20', 'one per cent', '$250 million']",£250.0 million,1387,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11842,"
    Boundary-making and resolving disputed territorial claims
    ",C,3.1329999999999996,High,8.0,14.705158563355297,13.496019424594834,19.324546307870342,21.10368927066601,0.1791,-0.3939,0.128,0.4677,0.7149,43,4,18,"['several $m', 'over $2']",£0.0 million,1591,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11842,"
    Boundary-making and resolving disputed territorial claims
    ",C,3.315,High,8.0,14.705158563355297,13.496019424594834,19.324546307870342,21.10368927066601,0.1791,-0.3939,0.128,0.4677,0.7149,43,4,18,"['several $m', 'over $2']",£0.0 million,1591,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11843,"
    Governing science and technology responsibly
    ",C,3.1329999999999996,High,8.0,18.210292959567482,12.952225058768219,18.533224873714833,20.114507947639083,0.414,0.0,0.4677,0.7328,0.8316,21,4,4,"['10', '800m']",£0.0 million,1426,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11843,"
    Governing science and technology responsibly
    ",C,3.315,High,8.0,18.210292959567482,12.952225058768219,18.533224873714833,20.114507947639083,0.414,0.0,0.4677,0.7328,0.8316,21,4,4,"['10', '800m']",£0.0 million,1426,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11844,"
    Embedding participatory research in museum practice
    ",C,3.1329999999999996,High,8.0,30.13717948201557,12.147222564143876,17.10328377920807,17.443952076103862,0.3159,0.0,0.2732,0.6049,0.7765,21,11,7,"['more than £0.5', '552,300']",£0.55 million,1644,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11844,"
    Embedding participatory research in museum practice
    ",C,3.315,High,8.0,30.13717948201557,12.147222564143876,17.10328377920807,17.443952076103862,0.3159,0.0,0.2732,0.6049,0.7765,21,11,7,"['more than £0.5', '552,300']",£0.55 million,1644,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11845,"
    (1) Let the dead teach the living. The applications of
        palaeopathological
        research to industry, heritage and education
    ",C,3.1329999999999996,High,8.0,9.313896320609018,13.573347263901148,20.177843492923458,23.062807539682538,0.1365,-0.4303,0.0129,0.4161,0.5758,21,7,7,[],,1134,3
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11845,"
    (1) Let the dead teach the living. The applications of
        palaeopathological
        research to industry, heritage and education
    ",C,3.315,High,8.0,9.313896320609018,13.573347263901148,20.177843492923458,23.062807539682538,0.1365,-0.4303,0.0129,0.4161,0.5758,21,7,7,[],,1134,3
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11846,"
    (3) Protecting the UNESCO World Heritage Site of Lumbini, Nepal, and
        neighbouring sites of significance.
    ",C,3.1329999999999996,High,8.0,27.4971379310345,13.237955554187193,17.419124422652327,18.34550298576022,0.1653,-0.4266,0.0,0.5719,0.7058,28,4,5,['79a & So5'],£0.0 million,933,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11846,"
    (3) Protecting the UNESCO World Heritage Site of Lumbini, Nepal, and
        neighbouring sites of significance.
    ",C,3.315,High,8.0,27.4971379310345,13.237955554187193,17.419124422652327,18.34550298576022,0.1653,-0.4266,0.0,0.5719,0.7058,28,4,5,['79a & So5'],£0.0 million,933,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11847,"
    (2) Sharing expertise: community archaeology and training in
        north-east England
    ",C,3.1329999999999996,High,8.0,14.826191196236579,13.932452150537635,17.971250198000288,20.31280280429594,0.3294,0.0,0.34,0.6483,0.8025,12,6,7,"['21,382', '19,273']",£0.04 million,838,2
University of Durham,10007143,North East,17,"Geography, Environmental Studies and Archaeology",11847,"
    (2) Sharing expertise: community archaeology and training in
        north-east England
    ",C,3.315,High,8.0,14.826191196236579,13.932452150537635,17.971250198000288,20.31280280429594,0.3294,0.0,0.34,0.6483,0.8025,12,6,7,"['21,382', '19,273']",£0.04 million,838,2
University of Sheffield,10007157,Yorkshire And Humberside,17,"Geography, Environmental Studies and Archaeology",12233,"
    Archaeology in the City: cultural, educational and environmental benefits
      from
      researching post-medieval Sheffield
    ",C,3.4,High,,25.16597917682293,12.658007994985724,16.80983296493398,17.977413650769826,0.2618,-0.012,0.2833,0.5994,0.7716,48,17,10,"['£150K', '14k']",£0.0 million,2087,2
University of Sheffield,10007157,Yorkshire And Humberside,17,"Geography, Environmental Studies and Archaeology",12233,"
    Archaeology in the City: cultural, educational and environmental benefits
      from
      researching post-medieval Sheffield
    ",C,3.367,High,,25.16597917682293,12.658007994985724,16.80983296493398,17.977413650769826,0.2618,-0.012,0.2833,0.5994,0.7716,48,17,10,"['£150K', '14k']",£0.0 million,2087,2
University of Sheffield,10007157,Yorkshire And Humberside,17,"Geography, Environmental Studies and Archaeology",12234,"
    Cultural, economic and political impacts resulting from the discovery of
      Ice Age Cave Art at Creswell Crags
    ",C,3.4,High,,25.93469195465184,12.626164642412085,18.046022208747292,19.135456512201394,0.3428,0.0,0.3612,0.5992,0.7986,59,18,13,"['93,000', '38,000', '38,000', '54,610', '15,000', '750,000', '£17 million']",£17.99 million,2003,2
University of Sheffield,10007157,Yorkshire And Humberside,17,"Geography, Environmental Studies and Archaeology",12234,"
    Cultural, economic and political impacts resulting from the discovery of
      Ice Age Cave Art at Creswell Crags
    ",C,3.367,High,,25.93469195465184,12.626164642412085,18.046022208747292,19.135456512201394,0.3428,0.0,0.3612,0.5992,0.7986,59,18,13,"['93,000', '38,000', '38,000', '54,610', '15,000', '750,000', '£17 million']",£17.99 million,2003,2
University of Sheffield,10007157,Yorkshire And Humberside,17,"Geography, Environmental Studies and Archaeology",12235,"
    Stonehenge and its landscape; changing perceptions, informing the next
      generation and benefitting the local economy.
    ",C,3.4,High,,27.702560138987906,12.667239822828632,16.63498635558585,17.901392376227598,0.2789,0.0,0.128,0.5423,0.7414,33,8,21,[],,1411,2
University of Sheffield,10007157,Yorkshire And Humberside,17,"Geography, Environmental Studies and Archaeology",12235,"
    Stonehenge and its landscape; changing perceptions, informing the next
      generation and benefitting the local economy.
    ",C,3.367,High,,27.702560138987906,12.667239822828632,16.63498635558585,17.901392376227598,0.2789,0.0,0.128,0.5423,0.7414,33,8,21,[],,1411,2
Loughborough University,10004113,East Midlands,17,"Geography, Environmental Studies and Archaeology",12395,"
    Transposition of European policy into practice: Conservation and
        management of riverine ecosystems
    ",C,2.5,Low,5.0,10.867752847071586,13.44012277657267,19.50660802358222,20.84842768147346,0.2272,-0.1178,0.273,0.4404,0.6775,35,6,10,[],,923,2
Loughborough University,10004113,East Midlands,17,"Geography, Environmental Studies and Archaeology",12402,"
    Scientific advisory services for climate adaptation and development
        planning
    ",C,2.5,Low,5.0,21.870266635205326,13.566429904042788,17.418287843637902,18.425499332128545,0.0903,-0.2732,0.0,0.22,0.6048,47,6,26,[],,979,2
Loughborough University,10004113,East Midlands,17,"Geography, Environmental Studies and Archaeology",12403,"
    Shaping practices in the management of river sediments
    ",C,2.5,Low,5.0,11.366300973828402,13.297946226415094,19.57776480511314,20.241442884250475,0.2813,-0.0256,0.3182,0.4927,0.7114,28,5,23,[],,850,2
Loughborough University,10004113,East Midlands,17,"Geography, Environmental Studies and Archaeology",12404,"
    Regulating the effects of Housing in Multiple Occupation (HMO) and
        student populations
    ",C,2.5,Low,5.0,20.737645824965455,14.191520020529298,16.24694786949722,17.742179229705002,0.1095,0.0,0.0,0.2306,0.4289,29,6,14,[],,679,2
Nottingham Trent University,10004797,East Midlands,17,"Geography, Environmental Studies and Archaeology",12700,"
Peatland management for biodiversity conservation and water resources
",C,2.4,Low,5.0,14.491942567567605,13.472608880308881,19.381587050064063,22.314176300578033,0.1774,0.0,0.0,0.3612,0.7144,37,15,10,['9million'],£9.0 million,1038,4
Nottingham Trent University,10004797,East Midlands,17,"Geography, Environmental Studies and Archaeology",12702,"
Reduced environmental impact from meat poultry production through improved nutrition.
",C,2.4,Low,5.0,22.64137869660462,13.017392296458562,18.02113991918318,18.72789473684211,0.1785,-0.2732,0.1217,0.4542,0.6694,24,5,3,"['approximately 48 billion', 'USD 725 million', '56,870', '49,950']",£48725.11 million,1254,3
University of Winchester,10003614,South East,17,"Geography, Environmental Studies and Archaeology",13605,"
Challenging the Past: The Magdalen Hill Archaeological Research Project (MHARP)
",C,1.7,Low,2.0,22.357511206741975,12.530607943338712,17.812147801027983,17.788048054509595,0.1475,-0.5038,0.0258,0.4215,0.7928,19,6,2,[],,845,2
Liverpool Hope University,10003956,North West,17,"Geography, Environmental Studies and Archaeology",13751,"
Transforming spatialities, cartographies and navigation: attitudes towards and engagements with
satellite navigation technologies
",C,0.8,Low,6.0,22.19038136785815,11.844473599774838,17.258936766885295,18.252936262810614,0.2132,0.0,0.1777,0.4588,0.5636,20,3,9,[],,838,2
University of Oxford,10007774,South East,17,"Geography, Environmental Studies and Archaeology",14585,"
    Accurately dating the past &#8212; OxCal: free software for the calibration of
      radiocarbon dates
    ",C,3.4,High,2.0,26.737625084849697,12.622987849525938,16.758888586881195,18.87041231469925,0.2506,0.0,0.2023,0.4492,0.7808,21,11,7,[],,1171,2
University of Oxford,10007774,South East,17,"Geography, Environmental Studies and Archaeology",14585,"
    Accurately dating the past &#8212; OxCal: free software for the calibration of
      radiocarbon dates
    ",C,3.167,High,2.0,26.737625084849697,12.622987849525938,16.758888586881195,18.87041231469925,0.2506,0.0,0.2023,0.4492,0.7808,21,11,7,[],,1171,2
